anime_id,name,genre,type,episodes,rating,members
26145,Okaachan Gomen ne,"Historical, Kids",Movie,1.0,9.0,47
34191,Santa-san wa Dai Isogashi,"Fantasy, Kids",OVA,1.0,9.0,25
32627,Shaka no Shougai,Historical,Movie,1.0,9.0,31
32796,Shenmi Shijie Lixian Ji,"Adventure, Comedy, Fantasy",Movie,1.0,9.0,37
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25.0,8.98,572888
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.93,179342
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1.0,8.93,466254
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22.0,8.92,416397
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.88,75894
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1.0,8.84,226193
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25.0,8.83,715151
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4.0,8.83,129307
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12.0,8.82,552458
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1.0,8.81,339556
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.8,101351
31547,Ryouma 30 Seconds,Historical,TV,5.0,8.8,54
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,8.78,300030
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,8.77,268487
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.76,38865
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,8.75,88995
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1.0,8.75,32266
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.75,98431
25301,Maya no Isshou,"Drama, Historical, Slice of Life",Movie,1.0,8.75,66
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1.0,8.74,333186
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12.0,8.73,340973
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1.0,8.73,34347
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,8.72,247562
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.71,133620
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,8.71,1013917
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2.0,8.69,16947
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25.0,8.68,176475
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.68,284498
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25.0,8.68,66756
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.68,111074
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.67,102322
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11.0,8.67,97187
26139,Kie Saranu Kizuato: Hi no Umi Osaka,"Historical, Kids",OVA,1.0,8.67,48
26337,Minna no Doutoku,"Drama, Fantasy, Historical, Kids, School",OVA,6.0,8.67,41
22995,Shisei Sasshin,Slice of Life,Movie,1.0,8.67,51
22219,Warera Salaryman Tou,"Comedy, Slice of Life",TV,26.0,8.67,57
28557,Yamete! Writer Asobi: Doubutsu Mura no Shoubou-tai Shutsu Dou,"Drama, Kids",OVA,1.0,8.67,40
26097,Yume no Tsuzuki,"Drama, Kids",OVA,1.0,8.67,53
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.66,49036
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12.0,8.65,402381
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11.0,8.65,122531
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,8.64,56162
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,8.64,33422
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26.0,8.64,139474
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25.0,8.64,355839
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,8.64,82253
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.64,114173
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11.0,8.62,463835
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.62,184525
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1.0,8.61,192424
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1.0,8.61,197439
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24.0,8.61,348951
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12.0,8.61,103178
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2.0,8.6,11104
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,8.6,93657
33950,Black Clover,"Action, Comedy, Fantasy, Magic, Shounen",Special,1.0,8.6,2247
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,8.59,51185
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10.0,8.59,297454
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24.0,8.59,425457
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13.0,8.59,71295
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,8.59,72958
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1.0,8.58,80825
578,Hotaru no Haka,"Drama, Historical",Movie,1.0,8.58,174878
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.58,243325
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25.0,8.58,28653
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26.0,8.57,113993
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39.0,8.57,74074
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.57,95658
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39.0,8.57,31234
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,8.56,82570
10162,Usagi Drop,"Josei, Slice of Life",TV,11.0,8.56,194855
18617,Girls und Panzer der Film,"Military, School",Movie,1.0,8.55,25641
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12.0,8.55,193716
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,8.55,197256
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13.0,8.54,363215
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.54,34011
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25.0,8.54,896229
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50.0,8.53,53108
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1.0,8.53,28864
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1.0,8.53,182224
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,8.53,288376
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26.0,8.53,44223
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.52,86074
10165,Nichijou,"Comedy, School, Slice of Life",TV,26.0,8.52,254436
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13.0,8.51,453630
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26.0,8.51,190197
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12.0,8.51,462974
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22.0,8.5,509109
22789,Barakamon,"Comedy, Slice of Life",TV,12.0,8.5,225927
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51.0,8.5,38531
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,8.5,245026
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.5,135735
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2.0,8.5,13405
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,8.5,390076
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13.0,8.5,185015
33821,"Aoyo, Kaette Koi: Tokyo Dai Kuushuu","Drama, Historical",OVA,1.0,8.5,26
31003,Boku no Aozora,"Drama, Kids",OVA,1.0,8.5,44
33842,Fushigi no Yappo Shima: Pukipuki to Poi,Kids,TV,25.0,8.5,24
26295,Haha Uzura,"Drama, Kids",OVA,1.0,8.5,44
26141,Hato yo: Hiroshima no Sora wo,"Historical, Kids",OVA,1.0,8.5,71
30970,Jidou Bungaku Library,"Demons, Drama, Fantasy, Historical, Kids, Magic, Romance, Samurai, Supernatural",OVA,6.0,8.5,49
31015,Kakusensou,"Drama, Historical, Kids",OVA,1.0,8.5,34
29365,"Mirai e no Niji: Boku no Ojisan wa, Hansen-byou","Drama, Kids",OVA,1.0,8.5,45
33824,Satoukibibatake,"Drama, Historical",OVA,1.0,8.5,21
28023,Tsuru no Sugomori,Kids,Movie,1.0,8.5,46
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12.0,8.49,207241
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.49,85361
7655,Major S6,"Comedy, Drama, Sports",TV,25.0,8.49,24788
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12.0,8.49,88850
25835,Shirobako,"Comedy, Drama",TV,24.0,8.49,146895
2921,Ashita no Joe 2,"Drama, Sports",TV,47.0,8.48,6259
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62.0,8.48,166255
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13.0,8.48,299434
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12.0,8.48,146592
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1.0,8.48,271484
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26.0,8.47,194491
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1.0,8.47,143273
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12.0,8.47,602291
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33.0,8.47,15074
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112.0,8.47,195017
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13.0,8.46,102822
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25.0,8.46,338315
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,8.46,157025
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12.0,8.46,210491
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1.0,8.46,159548
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2.0,8.45,92543
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13.0,8.45,205987
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50.0,8.45,36751
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1.0,8.45,99579
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,8.45,215630
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25.0,8.45,633817
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1.0,8.44,289206
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3.0,8.44,57963
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,8.43,107855
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94.0,8.43,218928
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1.0,8.43,125503
15905,Qin Shiming Yue Zhi: Wanli Changcheng,"Action, Fantasy, Historical, Martial Arts",TV,37.0,8.43,273
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1.0,8.42,28462
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12.0,8.42,267484
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26.0,8.42,41061
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6.0,8.42,15420
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24.0,8.42,331627
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.42,210736
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.42,85020
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24.0,8.41,218101
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.41,53168
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14.0,8.41,55787
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2.0,8.41,67261
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26.0,8.41,30689
5040,One Outs,"Psychological, Seinen, Sports",TV,25.0,8.41,83056
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,8.4,148328
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,8.4,226430
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1.0,8.4,137636
1842,Major S3,"Drama, Shounen, Sports",TV,26.0,8.4,29528
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.0,8.4,42076
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1.0,8.4,28302
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24.0,8.4,291228
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40.0,8.4,32188
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24.0,8.4,380375
23185,Chamebou Kuukijuu no Maki,Comedy,Movie,1.0,8.4,66
28563,Hi Asobi wa Kaji no Moto: Kenta to Nyanta no Hi no Youjin,"Drama, Kids",OVA,1.0,8.4,49
30943,Ojiichan wa Boku no Hero,"Drama, Kids",OVA,1.0,8.4,101
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13.0,8.39,717796
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15.0,8.39,482268
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12.0,8.39,83641
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1.0,8.39,47840
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.39,76051
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26.0,8.39,422271
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1.0,8.38,21798
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24.0,8.38,556431
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11.0,8.38,67697
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26.0,8.38,105044
34240,Shelter,"Music, Sci-Fi",Music,1.0,8.38,71136
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1.0,8.38,151061
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1.0,8.37,27213
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12.0,8.37,61493
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26.0,8.37,99128
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1.0,8.37,45547
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203.0,8.37,258103
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10.0,8.37,122895
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13.0,8.37,334932
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13.0,8.36,282002
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11.0,8.36,67032
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13.0,8.36,71820
9890,Major: Message,"Comedy, Drama, Sports",OVA,1.0,8.36,12282
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13.0,8.36,27532
9863,SKET Dance,"Comedy, School, Shounen",TV,77.0,8.36,101027
7674,Bakuman.,"Comedy, Romance, Shounen",TV,25.0,8.35,246899
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12.0,8.35,258914
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1.0,8.35,189741
28675,Kyoukai no Kanata Movie: I'll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1.0,8.35,59815
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26.0,8.35,28002
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1.0,8.35,53590
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1.0,8.34,31856
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1.0,8.34,223036
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1.0,8.34,115252
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1.0,8.34,22900
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"Action, Comedy, Drama, Magic, Super Power",Movie,1.0,8.34,13315
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1.0,8.34,58492
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1.0,8.34,38147
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13.0,8.34,74941
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1.0,8.33,65594
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12.0,8.33,383914
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51.0,8.33,600384
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26.0,8.33,98996
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.33,57029
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1.0,8.33,109392
28353,Henteko na Volunteer,"Drama, Slice of Life",OVA,1.0,8.33,44
24041,Jarujio Animal,"Adventure, Comedy, Parody",TV,10.0,8.33,57
26091,Koe wo Kikasete,"Drama, Kids",OVA,1.0,8.33,47
26221,Mebae no Ashita,"Drama, Kids",OVA,1.0,8.33,45
27579,Mii-chan no Tenohira,"Drama, Historical",Movie,1.0,8.33,51
26103,Namae... Sore wa Moeru Inochi,"Drama, Kids",OVA,1.0,8.33,50
26317,Obake Nagaya,"Comedy, Kids, Supernatural",OVA,1.0,8.33,42
26143,Okori Jizou,"Historical, Kids",Movie,1.0,8.33,52
30932,Oz no Mahoutsukai no Koutsuu Anzen no Tabi,"Drama, Fantasy, Kids",OVA,1.0,8.33,36
26219,Tabidachi no Hi ni,"Drama, Kids",OVA,1.0,8.33,44
27839,Ticonderonga no Iru Umi,"Drama, Historical, Kids",OVA,1.0,8.33,59
30941,Utsukushii Message,"Drama, Kids",OVA,1.0,8.33,37
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.32,158561
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1.0,8.32,6229
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291.0,8.32,375662
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1.0,8.32,106382
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1.0,8.32,59652
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1.0,8.32,94435
16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26.0,8.32,224947
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26.0,8.32,461946
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.32,18642
759,Tokyo Godfathers,"Comedy, Drama",Movie,1.0,8.32,89424
6,Trigun,"Action, Comedy, Sci-Fi",TV,26.0,8.32,283069
6864,xxxHOLiC Rou,"Mystery, Supernatural",OVA,2.0,8.32,36353
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1.0,8.31,14002
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.31,88164
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12.0,8.31,69253
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13.0,8.31,222994
